,,,,"At Levels 3, 7 and 11 Spellcasters may choose a spell from any Spell List. Arcanist, Bards and Way of the Arcane Monks may choose from any Spell List at all levels. ",,,,,,,,,
Lightning Arrow,Transmutation,Action,Attack Roll /                           DEX Save,18 m,Lightning Charges,1 Turn,"Deal 1d6+4 lightning dmg in a small AOE, 18m range. Gain a stack of Lightning Charge for every target you damage",Deal 1d6+4 dmg/level,,X,,X,
Lightning Bolt,Evocation,Action,DEX Save,18 m,Shocked,3 Turns,Deal 1d6+4 lightning damage in a huge line On Save: half damage,Deal 1d6+4 dmg/level,,,X,,X
Longstrider,Transmutation,Bonus ,Buff,3 m,Longstrider,3 Turns,All allies in a 3m AOE have +9m Movement speed,Increase AOE by 3m/level,,X,,,X
Mage Armour,Abjuration,Bonus,Concentration,18 m,Mage Armour,Until Long Rest,Target gain a flat AC bonus equal to 1 per level.,Select +1 target/level and +1 AC/level,,,X,,X
Magic Missile,Evocation,Action,Attack,18 m,None,None,"Shoot 3 darts, each dealing 1d4 force damage. Auto hit.",Each dart deals + 1d4 force damage,,,X,,X
Magic Weapon,Transmutation,Bonus,Enchantment,18 m,Magic Weapon,Until Long Rest,Target weapon receive +2 dmg and attack rolls. Spells and Cantrips that improves weapons can't stack with each others.,Select +1 target/level,,,X,,X
Mass Cure Wounds,Evocation,Action,Heal,3 m,None,None,Heal 1d12+4 in a 3m AOE around you,Increase AOE by 3m/level and heal by 1d12/level,X,X,,,
Mass Healing Word,Evocation,Bonus,Heal,9 m,None,None,Heal 1d6+4 in a 9m AOE around you,Increase AOE by 3m and heal by 1d6/level,X,X,,,
Maximilian's Earthen Grasp,Transmutation,Action,STR Save,18 m,Restrained,3 Turns,Deal 1d12+4 bludgeoning dmg and Restrain target on save On Save: half damage,Deal 1d12+4/level,,X,X,,
Melf's Acid Arrow,Evocation,Action,Attack Roll,18 m,Melf's Acid Arrow,3 Turns,"Deal 1d12+4 acid dmg on hit, and 1d12+4 acid dmg 3 turns later",Deal +1d12+4 dmg/level (both),,,X,X,
Melf's Minute Meterors,Evocation,Bonus,DEX Save,18 m,Melf's Minute Meteors,Until Long Rest,Summon 6 meteors. You can throw them for 1d12+4 fire dmg in a small AOE (1.5m) On short rest meteors are restored back.,Summon +6 meteor/level,,,X,,X
Mind Spike,Divination,Action,Concentration /              INT Save,18 m,Mind Spike,Until Long Rest,"Deal 1d12+4 psychic dmg. Every round, you can deal the same amount of damage.",Deal 1d12+4 dmg/level,,,,X,X
Mirror Image,Illusion,Bonus,Buff,Self Only,Mirror Image,3 Turns,"Increase AC by 6. Each time you evade a hit, decrease AC by 2.",No additional benefits,,,X,,X
Misty Step,Conjuration,Bonus,Movement,18 m,None,None,Teleport 18m,No additional benefits,,,,X,X
Moonbeam,Evocation,Action,CON Save,18 m,Moonbeam,3 Turns,Deal 1D12 radiant damage to any creature in a 3m AOE. Can move the AOE each turn with bonus action,Deal 1d12 dmg/level,,X,,X,
Nathair's Mischief,Illusion,Bonus,Debuff,18 m,Nathair's Mischief,1 Turn,Target experience a Wild Magic effect at the start of each turn,Select 1 additional target per level,,,,X,X
Otiluke Freezing Sphere,Evocation,Action,CON Save,18 m,Frozen,1 Turn,Freeze a creature solid,,,,X,X,
Otiluke Resilient Sphere,Evocation,Action,Concentration /                            DEX Save,3 m,Otiluke's Resilient Sphere,Until Long Rest,"Enclose a target in a sphere, make it invulnerable but unable to deal agressive actions. Save each round. Reduce movement speed by half. 3m range. Target cannot be huge size.",Increase range by 3m/level,X,,,,X
Otto's Irresistible Dance,Enchantment,Action,Curse,18 m,Otto's Irrestistible Dance,3 Turns,"Cause a create to receive a condition that leaves them unable to take actions, move or utilize their armours Damage Reduction. Attackers have Advantage on Attack Rolls against this creature. The condition will transfer to any creature that attack's the affected entity. No save required on application, at the start of the affected creature's they may end the condition early with a successful WIS Save.",Select 1 additional target per level,,,,X,X
Pass Without Trace,Abjuration,Bonus,Buff,18 m,Pass Without Trace,3 Turns,Target get a +20 bonus to Stealth checks,Select 1 additional target per level,X,,,X,
Phantasmal Force ,Illusion,Action,Concentration / INT Save / Curse,18 m,Phantasmal Force,Until Long Rest,Deal 1d12 dmg/round each round on failed save. Damage changes to last type target suffered.,Select 1 additional target per level,,,,X,X
Phantasmal Killer,Illusion,Action,Curse / WIS Save,18 m,Phantasmal Killer,3 Turns,"Deal 1d6 psychic dmg each turn, target movement is halfd. Save at the end of each round",Deal 1d6 dmg/level,,,,X,X
Plant Growth,Transmutation,Action,Surface,18 m,Plant Growth,Permanent,Create a 3m AOE surface of very difficult terrain (Movement speed quartered),Increase AOE by 3m/level,,X,,X,
Polymorph,Transmutation,Action,Debuff / WIS Save,18 m,Polymorphed,3 Turns,"Transform a creature into a harmless sheep. If health drop to 0, it transforms back",Select 1 additional target per level,,X,X,,
Prayer of Healing,Evocation,Action,Heal,18 m,None,None,"Outside of combat, heal all allies for 12 9m AOE",Heal for 12/level,X,X,,,
Power Over Evil & Good,Abjuration,Bonus,Concentration,18 m,Power Over Evil & Good,Until Long Rest,"When attacking Undeads, Abberations, Celestials, Elemental, Feys, Fiends you roll both damage and attack roll with advantage.",Select 1 additional target per level,X,X,,,
Ray of Enfeeblement,Necromancy,Action,Curse / CON Save,18 m,Feeble,3 Turns,"On hit, target creature deal half damage with all weapon attacks. ",Select 1 additional target per level,,,,X,X
Ray of Sickness,Necromancy,Action,Attack Roll / CON Save,18 m,Poisoned,1 Turn,"Deal 1d12+4 poison dmg, 18m range, and poison target on failed save",additional ray/level,,X,,X,
Psionic Antagonism,Enchantment,Action,WIS Save,18 m,Psionic Antagonism,1 Turn,Deal 1d6+4 psychic dmg in a large AOE and prevents reaction on failed save On Save: half damage,Deal 1d6+4 dmg/level,,,,X,X
Remediation,Abjuration,Action,Concentration,18 m,Remediation,Until Long Rest,Remove all Curses and Hexes on target,Select 1 additional target per level,X,,X,,
Revivify,Necromancy,Action,Revive,3 m,None,None,"Revive a dead companion with 1 HP, 3m range",Increase range by 3m/level,X,X,,,
Rime's Binding Ice,Evocation,Action,CON Save,18 m,Rime's Binding Ice,1 Turn,"Deal 1d6+4 cold damage in a large area, and reduce movement speed by half on failed save",Deal 1d6+4 dmg/level,,,X,X,
Sanctuary,Abjuration,Bonus,Buff,18 m,Sanctuary,3 Turns,Target can't be targeted. End if target harm another creature or attack,Select 1 additional target per level,X,X,,,
Scorching Ray,Evocation,Action,Attack Roll,18 m,Heat,1 Turn,"Shoot 1 rays,  dealing 1d12+4 fire damage on hit. Gain 3 stack of Heat for every target you hit",Shoot 1 more rays/level,,,,X,X
See Invisibility,Divination,Bonus,Buff,18 m,See Invisibility,Until Long Rest,Reveal invisible tragets around you if they fail a DEX save,Select 1 additional target per level,X,,X,,
Shadow Blade,Illusion,Bonus,Weapon,Self Only,Shadow Blade,Until Long Rest,"Illusion Blade 1d12 Psychic damage, builtin Spellbound Empowerment. In Heavily Obscured area, has advantage on damage.",No additional benefits,X,,X,,
Shatter,Evocation,Action,CON Save,18 m,Muted,1 Turn,"Deal 1d6+4 thunder damage in a large AOE around you, and silence targets on failed save",Deal 1d6+4 dmg/level,,,X,X,
Shield,Abjuration,Reaction,Buff,Self Only,Shield, 1 Turn,Increase AC by 4 for this turn and become immune to Force dmg,No additional benefits,,,,X,X
Shield of Faith,Abjuration,Bonus,Buff,18 m,Shield of Faith,3 Turns,Increase target's AC by 2,Select 1 additional target per level,X,,,,X
Silence,Illusion,Action,Concentration,18 m,Silenced,Until Long Rest,"Create an area silencing everyone inside, and making them immune to Thunder dmg",Increase AOE by 3m/level,X,,X,,
Sleepveil,Enchantment,Bonus,WIS Save,3 m,Sleeping,1 Turn,Every creature in a 3m AOE around you are put to sleep on failed save,Increase AOE by 3m/level,,X,X,,
Sleet Storm,Conjuration,Action,CON Save,18 m,Sleet Storm,3 Turns,Disrupt concentration on failed save in huge area. Douses fires,No additional benefits,,X,X,,
Slow,Transmutation,Action,WIS Save,18 m,Slowed,3 Turns,"Targets in a wild AOE have Half movement speed, -2 to AC, cannot use reactions or make more than 1 attack per turn and Disadvantage on DEX Saves.",Select 1 additional target per level,X,,X,,
Snilloc's Snow Storm,Evocation,Action,CON Save,3 m,Frostbite,3 Turns,"Deal 1d12+4 cold damage in a 3m area around you. If target is Wet, apply 3 stacks of Frostbite. On Save: half damage",Deal 1d12+4 dmg/level,,X,X,,
Speak with Animals,Divination,Bonus,Buff,Self Only,Speak with Animals,Until Long Rest,Gain the ability to speak with cartoon dogs and the like.,No additional benefits,,X,,X,
Speak with Dead,Necromancy,Bonus,Buff,Self Only,Speak with Dead,Until Long Rest,Gain the ability to speak with certain corpses.,No additional benefits,X,,,X,
Spew Acid,Evocation,Action,DEX Save,3 m,Acid,1 Turn,"Deal 1d12+4 acid damage in a 3m cone AOE in front of you, and afflicts targets with Acid  (-2 AC) on failed save",Deal 1d12+4 dmg/level,,,X,,X
Spike Growth,Transmutation,Action,Concentration,18 m,Spike Growth,Until Long Rest,"Create a 3m AOE surface of spikes. Everyone passing by takes 1d12 piercing dmg by 1,5m it moves",Increase AOE by 3m/level,,X,,X,
Spirit Guardians,Conjuration,Action,Concentration,3 m,Spirit Guardians,Until Long Rest,Deal 1d12 radiant OR necrotic damage to every enemies around you when you end your turn and they are inside the area,Deal 1d12 dmg/level,X,,,X,
Spiritual Shroud,Necromancy,Bonus,Concentration,Self Only,Spiritual Shroud,Until Long Rest,Deal 1d12 cold damage to anyone missing you (melee or ranged),Deal 1d12 dmg/level,X,,,X,
Spiritual Weapon,Evocation,Bonus,Summon,18 m,Spiritual Weapon,Until the end of your next combat encounter,Summon a weapon dealing 1d12 force damage on hit,Summon +1 weapon/level,X,,,,X
Stoneskin,Abjuration,Bonus,Buff,18 m,Stoneskin,3 Turns,Target becomes Resistant to all Physical damage,Select 1 additional target per level,,X,,,X
Sunbeam,Evocation,Action,CON Save,18 m,Blinded,1 Turn,Deal 1d6+4 radiant damage in a line and blind all targets on save fail. Can cast the spell again (weakened) without expending a spell slot (free action) On Save: half damage,Deal 1d6+4 dmg/level,X,X,,,
Tasha's Caustic Brew,Evocation,Action,DEX Save,9 m,Acid,3 Turns,Deal 1d6+4 Acid damage in a large line and apply acid for 3 turns. On Save: half damage,Deal 1d6+4 dmg/level,,,,X,X
Tasha's Hideous Laughter,Enchantment,Action,WIS Save,18 m,Prone,1 Turn,Target creature is prone and can't act. Save at the end of each turn. Laughter targets now attempt a save when taking damage.,Increase duration by 1 turn/level,,,,X,X
Telekinesis,Transmutation,Bonus,STR Save,18 m,None,None,Throw a creature or object up to 18m. Range to target is 3m.,Increase targetting range by 3m/level,,,X,,X
Thunderwave,Evocation,Action,CON Save,3 m,Reverberation,3 Turns,"Deal 1d12+4 in a 3m cone AOE, Inflicts Reverberate and push back targets 9m on failed save. On Save half damage",Deal 1d12+4 dmg/level,,,X,,X
Thunder Step,Evocation,Action,CON Save,18 m,None,None,Teleport up to 18m and deal 1d6+4 Thunder damage in a small AOE when you appears,Deal 1d6+4 dmg/level,,,X,X,
Transposition,Conjuration,Bonus,CHA Save,18 m,None,None,Forcibly teleport another creature to an area you can see on failed save,No additional benefits,X,,X,,
Unseen Servant,Conjuration,Bonus,Summon,18 m,Distracted,1 Turn,Summon an invisible servant. Can interact with the environment,No additional benefits,X,,,,X
Vampiric Touch,Necromancy,Action,Attack Roll,Melee,None,None,"On melee hit, deal 1d12+4 necrotic damage and regain half as many HP",Deal 1d12+4 dmg/level,X,,,X,
Vitriolic Touch,Evocation,Action,Attack Roll,Melee,Acid,3 Turns,"On melee hit, deal 1d12 +4 acid damage and lower AC by 2",Deal 1d12+4 dmg/level,X,,X,,
Wall of Fire,Evocation,Action,DEX Save,9 m,None,3 turns,Create a wall of fire that deals 1d12 Fire Damage to any creature who dares to get too close.,"Deal 1d12 dmg/level, +1.5m/level",,,X,,X
Wall of Ice,Evocation,Action,No Save,9 m,Frozen,1 Turn,"Create a wall made of solid ice that lasts until long rest or until broken. Once broken, frigid air seeps out of the wall and halfs the Movmement Speed of all creatures within. Creatures may also be Frozen for 1 Turn.",Wall increases by 1.5m/level,X,,X,,
Wall of Stone,Evocation,Bonus,None,9 m,None,3 turns,Raise a wall of solid stone,Wall increases by 1.5m/level,,X,,,X
Wall of Thorns,Conjuration,Action,None,9 m,Wall of Thorns /              Off Balance,Whilst on Surface,Raise a wall of thorns. Creatures passing by the wall are Off-Balanced and Movement Speed is quartered,Wall increases by 1.5m/level,,X,,,X
Ward of Vitality,Evocation,Bonus,Buff,18 m,Ward of Vitality,3 Turns,Target gains Advantage on all Saving Throws,Select 1 additional target per level,X,X,,,
Warding Bond,Abjuration,Bonus,Buff,18 m,Warding Bone,Until the end of your next combat encounter,"Target gain Resistance to ALL damage. When the ally takes damage, you take the same amount",Select 1 additional target per level,X,X,,,
Warding Winds,Evocation,Bonus,Concentration,3 m,Warding Winds,Until Long Rest,"Clear clouds in 3m radius, create difficult terrain, ranged attacks against creatures inside are rolled with Disadvantage",No additional benefits,,X,,,X
Water walk,Transmutation,Bonus,Concentration,3 m,Water Walk,Until Long Rest,Every ally in a 3m AOE around you ignore surfaces,Increase area by 3m/level,,X,,,X
Web,Conjuration,Bonus,Concentration /                      STR Save,18 m,Enwebbed,1 Turn,"Create a 3m AOE surface, enwebs targets on save",Increase AOE by 3m/level,,X,,,X
Wind Walk,Transmutation,Bonus,Buff,3 m,Gaseous Form,Until Long Rest,"Transform yourself and nearby allies in mist. Become Resistant to non-magical damage, become tiny in size, can't act. ADV on Con,Dex and Str saves",Increase AOE by 3m/level,,,,,X
Witch Bolt,Evocation,Action,Attack Roll,18 m,Witch Bolt,Until Long Rest,Deal 1d12(+4) Lightning Damage and create a link between you and affected creatures. You may reactivate this link each turn at the cost of an Action in order to zap all tethered targets for 1d12(+4) Lightning Damage. These tethers expire if any tethered creature dies or at the end of combat.,Select 1 additional target per level,,,,X,X
Wither and Bloom,Necromancy,Action,CON Save / Heal,18 m,None,None,"Deal 1d12 poison damage on enemies in a large AOE, and heals allies in the AOE for 1D12",Increase healing and damage by 1d12/level,X,X,,,
Zephyr Movement,Transmutation,Bonus,Concentration / Movement,Self Only,Zephyr Movement,Until Long Rest,You ignore Opportunity attacks. You can teleport once per turn (9m range) as a free action. Your ability to wrap is not limited by sight.,No additional benefits,,X,,,X
